Generacion 0
['e', 'o', 'l', 'a']
['e', 'o', 'f', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'f', 'l', 'a']
['e', 'o', 'l', 'b']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'z', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'p', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'u']
['e', 'o', 'w', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 't']
['e', 'y', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'b', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
['e', 'o', 'l', 'a']
--------------------------------
